siren,count,nom,address,cp,Coordonnee X,Coordonnee Y,Latitude,Longitude
443370754,1,STÉPHANE URBANO / LA COURTOISIE,31 rue elsa triolet,21000,854767.8,6698058.8,47.364775280893156,5.050858594517225
443391297,4,COLLEGE LYCEE SAINT CHARLES CAMAS,21 rue du camas,13005,894269.9,6247261.9,43.29802803992471,5.393023740259543
444082051,2,LILY POULE,6 rue du commandant valentin,25300,955749.7,6650214.3,46.90311914530554,6.360731629669006
444103501,1,ASSOCIATION EMERGENCE,33 rue pauline kergomard,76620,490994.4,6940092.5,49.52576516759537,0.11377989441041685
444309025,1,SATEM,route de chardonchamp,86440,495571.5,6617730.7,46.62850133866233,0.3275369404223843
444473078,2,IMBERT & DECAUX,avenue gaston monnerville,46400,612356.1,6418010.4,44.855724434145785,1.8905794881859863
444698500,2,HOTEL F1,route de neuilly,52000,859818.1,6777470.1,48.07804861783245,5.1463540101546315
445126428,2,EUKLES,447 boulevard jean moulin,83700,1006092.0,6266113.7,43.42818571508117,6.779845351732369
445134844,1,CHIN MUDRA,53 rue la fontaine,75016,646798.4,6861656.1,48.85274699204338,2.274966605915041
445153455,1,ABC BOUVINES,6 avenue de bouvines,75011,655719.8,6861303.4,48.85025008568023,2.396579298986896
445196645,1,THE NEW YORK UNIVERSITY CLUB OF FRANCE,56 rue de passy,75016,647068.0,6862223.6,48.857872636809255,2.2785698619473655
445392608,1,OPTIQUE MEDICALE STURN SARL,24 rue foch,57220,954408.5,6912417.9,49.260727775746155,6.49554586920839
447535949,1,ATTRACTIF,13 rue vulpian,75013,652027.0,6859252.3,48.83154011625146,2.346489844624349
447588682,1,GALLOUL BENABBOUN TRAVAUX PUBLIC,quartier les peyrons,83210,947326.7,6234049.7,43.16283648002934,6.039739749215452
447624321,5,CLINIQUE DU PIC SAINT LOUP,avenue saint sauveur,34980,767272.1,6290602.4,43.711251943057015,3.8345271287207168
447676503,1,DOCTEUR JEROME VALETTE,route du mont dore,63680,675951.5,6492795.1,45.5342173521389,2.691874791177272
447719840,2,COLLEGE SAINTE JEANNE D´ARC,50 rue du sergent bobillot,37000,525277.5,6700510.4,47.381869825309,0.683908061920183
447751868,2,OUTREMER TELECOM,combani,97680,514574.1,8586122.3,-12.789648414604482,45.13428382992667
447803677,1,DM IMMOBILIER,place de l'eglise,69490,817631.0,6532603.6,45.882935334802845,4.516785682624102
448144824,2,EURL LYCEE CROISET,7 avenue de joinville,60500,660721.7,6897478.7,49.175851330578745,2.461376944259755
448323949,1,TARLIER,15 rue de l'eglise,62450,692091.2,6995533.9,50.058142143443355,2.8896661955147485
448435339,1,ALAIN PINTAT,1 rue gambetta,31004,574041.1,6279438.6,43.60280531071268,1.4403291216091931
448435545,1,SYSCONSULT - E.U.R.L,place de la mairie,91190,636773.7,6846407.1,48.71470301675495,2.14062120748429
448525865,1,COMANAGING,32 rue tronchet,75009,650628.8,6863879.0,48.87304206307065,2.326906590165224
448577106,4,PHARMACIE DE LA TOUR,chef lieu,74250,962414.5,6562544.1,46.111859595998354,6.398632607692492
448736223,2,GARDIENNAGE PROTECTION SERVICE,rue centrale,73420,925487.8,6507415.2,45.62906875585914,5.894685516138033
448742650,1,OAK RACING,chemin aux boeufs,72100,492293.7,6764841.1,47.95101467946788,0.21696695425332746
448818245,2,HAMAC.FR,25 rue principale,68130,1021893.8,6733469.6,47.622933249953356,7.287728994997681
449367796,1,SOCIETE D'EXPLOITATION DU CENTRE NAUTIQUE DE MATOUYR,chemin morthium,97351,352809.3,535819.6,4.846308746094331,-52.32736208781621
449736347,3,CHANTIERS.NET,23 rue de cronstadt,75015,648762.6,6859568.5,48.834132481639536,2.3019848610226643
449861996,1,SARL AZERGUES VOYAGES,route de lozanne,69380,832535.3,6531955.3,45.874357648702144,4.708730766419453
